date,day_of_week,month,year,shift,total_arrivals,staff_on_duty,crowding_ratio,avg_wait_min,avg_los_min,admitted,discharged,left_without_seen,transferred,readmit_rate,triage_critical,triage_urgent,triage_semi_urgent,triage_non_urgent,patient_satisfaction,insured_rate,primary_diagnosis,is_holiday,is_surge_event
2022-01-01,Saturday,January,2022,Evening,139,18,1.19,85.8,155.0,31,80,16,12,0.095,4,31,55,44,6.9,0.5,Other,1,0
2022-01-02,Sunday,January,2022,Night,100,19,0.81,64.8,106.3,19,51,10,20,0.055,3,22,41,28,8.1,0.54,Respiratory,0,0
2022-01-03,Monday,January,2022,Day,182,14,2.0,95.8,131.6,39,116,26,1,0.115,5,33,88,48,5.9,0.64,Respiratory,0,0
2022-01-04,Tuesday,January,2022,Day,179,20,1.38,86.5,228.6,51,87,16,25,0.096,6,31,83,51,7.0,0.61,Abdominal,0,0
2022-01-05,Wednesday,January,2022,Evening,188,24,1.21,69.4,168.3,42,113,20,13,0.067,6,34,84,52,7.1,0.57,Other,0,0
2022-01-06,Thursday,January,2022,Day,174,23,1.16,92.2,187.7,51,107,16,0,0.094,7,37,75,55,6.5,0.6,Neurological,0,0
2022-01-07,Friday,January,2022,Night,176,18,1.5,98.4,242.9,33,115,23,5,0.104,7,28,70,63,5.4,0.56,Cardiac,0,0
2022-01-08,Saturday,January,2022,Evening,113,22,0.79,55.0,69.3,31,66,11,5,0.056,5,25,54,30,6.1,0.67,Other,0,0
2022-01-09,Sunday,January,2022,Night,99,19,0.8,82.7,214.1,27,52,6,14,0.069,3,16,43,32,6.2,0.55,Other,0,0
2022-01-10,Monday,January,2022,Night,192,17,1.74,167.8,350.6,42,116,27,7,0.094,9,31,75,54,2.6,0.61,Respiratory,0,0
2022-01-11,Tuesday,January,2022,Night,192,17,1.74,114.3,252.9,46,104,24,18,0.098,7,44,75,52,6.0,0.58,Psychiatric,0,0
2022-01-12,Wednesday,January,2022,Evening,182,20,1.4,94.3,206.8,37,119,20,6,0.081,9,40,78,57,6.0,0.72,Abdominal,0,0
2022-01-13,Thursday,January,2022,Night,164,18,1.4,96.2,186.0,40,85,20,19,0.094,9,25,79,44,5.9,0.74,Abdominal,0,0
2022-01-14,Friday,January,2022,Day,182,20,1.4,102.1,162.2,48,102,24,8,0.099,9,33,75,66,4.8,0.75,Psychiatric,0,0
2022-01-15,Saturday,January,2022,Evening,118,19,0.96,94.4,167.4,29,69,12,8,0.06,2,28,45,41,5.4,0.66,Abdominal,0,0
2022-01-16,Sunday,January,2022,Evening,121,16,1.16,101.3,228.3,20,81,14,6,0.074,3,19,47,37,6.0,0.63,Cardiac,0,1
2022-01-17,Monday,January,2022,Day,187,13,2.21,122.1,222.2,54,111,30,0,0.116,9,38,88,50,4.0,0.6,Psychiatric,0,0
2022-01-18,Tuesday,January,2022,Evening,174,21,1.27,72.6,88.7,48,84,15,27,0.083,10,40,70,53,6.4,0.56,Trauma,0,0
2022-01-19,Wednesday,January,2022,Night,157,20,1.21,94.9,202.6,34,83,20,20,0.085,8,32,70,50,6.0,0.68,Abdominal,0,0
2022-01-20,Thursday,January,2022,Evening,171,23,1.14,80.9,122.1,43,97,19,12,0.066,8,35,75,51,7.0,0.59,Abdominal,0,0
2022-01-21,Friday,January,2022,Day,182,20,1.4,78.6,121.9,30,119,18,15,0.094,7,30,88,53,5.9,0.62,Other,0,0
2022-01-22,Saturday,January,2022,Evening,120,20,0.92,76.2,136.8,31,63,9,17,0.078,3,28,49,42,7.2,0.61,Abdominal,0,0
2022-01-23,Sunday,January,2022,Evening,138,21,1.01,60.4,99.6,40,71,12,15,0.062,5,19,60,38,7.3,0.51,Other,0,1
2022-01-24,Monday,January,2022,Day,189,15,1.94,99.1,208.7,51,91,26,21,0.096,10,35,83,52,5.9,0.57,Psychiatric,0,0
2022-01-25,Tuesday,January,2022,Day,190,22,1.33,71.8,177.6,39,94,16,41,0.084,5,35,81,68,7.9,0.72,Respiratory,0,0
2022-01-26,Wednesday,January,2022,Night,155,15,1.59,114.6,240.7,29,85,22,19,0.078,6,30,76,47,4.2,0.72,Trauma,0,0
2022-01-27,Thursday,January,2022,Evening,143,22,1.0,62.9,140.1,37,91,15,0,0.086,4,31,58,50,6.1,0.62,Neurological,0,0
